Edge { left: 746, right: 9852, weight: Weight(492) }
Edge { left: 746, right: 7174, weight: Weight(570) }
Edge { left: 7174, right: 9824, weight: Weight(895) }
Edge { left: 2597, right: 9824, weight: Weight(638) }
Edge { left: 2597, right: 6578, weight: Weight(870) }
Edge { left: 1633, right: 7405, weight: Weight(1122) }
Edge { left: 2476, right: 6578, weight: Weight(1132) }
Edge { left: 1551, right: 2476, weight: Weight(49) }
Edge { left: 718, right: 1551, weight: Weight(853) }
Edge { left: 718, right: 9732, weight: Weight(587) }
Edge { left: 1238, right: 9732, weight: Weight(1023) }
Edge { left: 1238, right: 1821, weight: Weight(608) }
Edge { left: 1821, right: 6275, weight: Weight(233) }
Edge { left: 1821, right: 3459, weight: Weight(1040) }
Edge { left: 1633, right: 2850, weight: Weight(1159) }
Edge { left: 2850, right: 8352, weight: Weight(557) }
Edge { left: 2033, right: 2850, weight: Weight(935) }
Edge { left: 1596, right: 2033, weight: Weight(434) }
Edge { left: 1112, right: 1596, weight: Weight(474) }
Edge { left: 1112, right: 1990, weight: Weight(415) }
Edge { left: 1990, right: 5678, weight: Weight(42) }
Edge { left: 1990, right: 6405, weight: Weight(740) }
Edge { left: 3787, right: 6405, weight: Weight(322) }
Edge { left: 5925, right: 6405, weight: Weight(431) }
Edge { left: 3764, right: 5925, weight: Weight(427) }
Edge { left: 3958, right: 5678, weight: Weight(859) }
Edge { left: 3958, right: 4461, weight: Weight(630) }
Edge { left: 3787, right: 6592, weight: Weight(895) }
Edge { left: 6592, right: 8557, weight: Weight(253) }
Edge { left: 5984, right: 6592, weight: Weight(946) }
Edge { left: 2593, right: 5984, weight: Weight(341) }
Edge { left: 5984, right: 8672, weight: Weight(549) }
Edge { left: 7223, right: 8672, weight: Weight(473) }
Edge { left: 4461, right: 6877, weight: Weight(960) }
Edge { left: 1971, right: 3764, weight: Weight(1008) }
Edge { left: 1971, right: 3041, weight: Weight(585) }
Edge { left: 1585, right: 3958, weight: Weight(1068) }
Edge { left: 1585, right: 4552, weight: Weight(590) }
Edge { left: 4322, right: 4552, weight: Weight(399) }
Edge { left: 4187, right: 4322, weight: Weight(612) }
Edge { left: 4187, right: 7881, weight: Weight(825) }
Edge { left: 6388, right: 7881, weight: Weight(437) }
Edge { left: 4322, right: 4325, weight: Weight(970) }
Edge { left: 4325, right: 6765, weight: Weight(442) }
Edge { left: 6765, right: 7050, weight: Weight(707) }
Edge { left: 6613, right: 7050, weight: Weight(372) }
Edge { left: 6765, right: 9678, weight: Weight(820) }
Edge { left: 7050, right: 7220, weight: Weight(925) }
Edge { left: 4782, right: 7220, weight: Weight(917) }
Edge { left: 2488, right: 4782, weight: Weight(644) }
Edge { left: 2488, right: 5440, weight: Weight(177) }
Edge { left: 2488, right: 4541, weight: Weight(592) }
Edge { left: 4541, right: 9257, weight: Weight(651) }
Edge { left: 2492, right: 9257, weight: Weight(553) }
Edge { left: 4325, right: 7368, weight: Weight(957) }
Edge { left: 7368, right: 9084, weight: Weight(678) }
Edge { left: 2249, right: 9084, weight: Weight(774) }
Edge { left: 2011, right: 2249, weight: Weight(558) }
Edge { left: 2011, right: 7724, weight: Weight(390) }
Edge { left: 270, right: 2011, weight: Weight(482) }
Edge { left: 270, right: 686, weight: Weight(732) }
Edge { left: 686, right: 1834, weight: Weight(211) }
Edge { left: 1834, right: 8523, weight: Weight(796) }
Edge { left: 2933, right: 8523, weight: Weight(428) }
Edge { left: 2097, right: 2933, weight: Weight(227) }
Edge { left: 2097, right: 7733, weight: Weight(233) }
Edge { left: 7733, right: 7815, weight: Weight(482) }
Edge { left: 5865, right: 7724, weight: Weight(847) }
Edge { left: 5865, right: 5898, weight: Weight(674) }
Edge { left: 7523, right: 7733, weight: Weight(960) }
Edge { left: 678, right: 7523, weight: Weight(455) }
Edge { left: 678, right: 9325, weight: Weight(678) }
Edge { left: 6217, right: 9325, weight: Weight(573) }
Edge { left: 4993, right: 6217, weight: Weight(328) }
